politician,BioGuideID,disclosure_date,TransactionDate,ticker,action,Range,chamber,amount,party,last_modified,TickerType,Description,ExcessReturn,PriceChange,SPYChange
Cleo Fields,F000110,2025-12-17,2025-12-15,SOUN,SELL,"$1,001 - $15,000",Representatives,1001.0,D,2025-12-18,ST,,3.22905537020994,1.85356811862837,-1.37548725158157
Cleo Fields,F000110,2025-12-17,2025-12-15,GOOG,BUY,"$1,001 - $15,000",Representatives,1001.0,D,2025-12-18,ST,,-2.26475586234575,-3.64024311392732,-1.37548725158157
Cleo Fields,F000110,2025-12-17,2025-12-15,GOOGL,BUY,"$15,001 - $50,000",Representatives,15001.0,D,2025-12-18,ST,,-2.35561390992644,-3.73110116150801,-1.37548725158157
Cleo Fields,F000110,2025-12-17,2025-12-11,UBER,SELL,"$50,001 - $100,000",Representatives,50001.0,D,2025-12-18,ST,,-4.79197299689947,-7.37359550561797,-2.5816225087185
Cleo Fields,F000110,2025-12-17,2025-12-11,MSFT,BUY,"$1,001 - $15,000",Representatives,1001.0,D,2025-12-18,ST,,1.061362720107,-1.5202597886115,-2.5816225087185
Cleo Fields,F000110,2025-12-17,2025-12-11,CRWV,SELL,"$15,001 - $50,000",Representatives,15001.0,D,2025-12-18,ST,,-23.5456377339,-26.1272602426185,-2.5816225087185
Cleo Fields,F000110,2025-12-17,2025-12-11,ARM,SELL,"$50,001 - $100,000",Representatives,50001.0,D,2025-12-18,ST,,-13.2550162455051,-15.8366387542236,-2.5816225087185
Cleo Fields,F000110,2025-12-17,2025-12-11,T,SELL,"$15,001 - $50,000",Representatives,15001.0,D,2025-12-18,ST,,2.82853608896541,0.246913580246908,-2.5816225087185
Cleo Fields,F000110,2025-12-17,2025-12-11,MSFT,BUY,"$1,001 - $15,000",Representatives,1001.0,D,2025-12-18,ST,,1.061362720107,-1.5202597886115,-2.5816225087185
Cleo Fields,F000110,2025-12-17,2025-12-11,GOOGL,BUY,"$100,001 - $250,000",Representatives,100001.0,D,2025-12-18,ST,,-2.44670383638279,-5.0283263451013,-2.5816225087185
Cleo Fields,F000110,2025-12-17,2025-12-09,GOOGL,BUY,"$50,001 - $100,000",Representatives,50001.0,D,2025-12-18,ST,,-4.70958156287088,-6.42109246877758,-1.7115109059067
Cleo Fields,F000110,2025-12-17,2025-12-09,IREN,BUY,"$1,001 - $15,000",Representatives,1001.0,D,2025-12-18,ST,,-26.1706411009251,-27.8821520068318,-1.7115109059067
Cleo Fields,F000110,2025-12-17,2025-12-03,NFLX,BUY,"$1,001 - $15,000",Representatives,1001.0,D,2025-12-18,ST,,-7.00445585563777,-8.82070026933435,-1.81624441369658
Cleo Fields,F000110,2025-12-17,2025-12-03,NFLX,BUY,"$1,001 - $15,000",Representatives,1001.0,D,2025-12-18,ST,,-7.00445585563777,-8.82070026933435,-1.81624441369658
Cleo Fields,F000110,2025-12-17,2025-12-01,GOOGL,BUY,"$50,001 - $100,000",Representatives,50001.0,D,2025-12-18,ST,,-4.46415566909641,-5.77026898281938,-1.30611331372298
Gilbert Cisneros,C001123,2025-12-15,2025-11-26,FWRG,BUY,"$1,001 - $15,000",Representatives,1001.0,D,2025-12-16,ST,,-9.40720894527931,-10.6233062330623,-1.21609728778303
Gilbert Cisneros,C001123,2025-12-15,2025-11-26,TKO,BUY,"$1,001 - $15,000",Representatives,1001.0,D,2025-12-16,ST,,10.6539625202389,9.43786523245591,-1.21609728778303
Gilbert Cisneros,C001123,2025-12-15,2025-11-26,SPOT,SELL,"$1,001 - $15,000",Representatives,1001.0,D,2025-12-16,ST,,-3.24829387791912,-4.46439116570214,-1.21609728778303
Gilbert Cisneros,C001123,2025-12-15,2025-11-26,GOOGL,SELL,"$1,001 - $15,000",Representatives,1001.0,D,2025-12-16,ST,,-6.04441216681924,-7.26050945460227,-1.21609728778303
Gilbert Cisneros,C001123,2025-12-15,2025-11-24,PRIM,SELL,"$1,001 - $15,000",Representatives,1001.0,D,2025-12-16,ST,,-0.925845537347818,-0.533937383706817,0.391908153641
Gilbert Cisneros,C001123,2025-12-15,2025-11-24,SF,SELL,"$1,001 - $15,000",Representatives,1001.0,D,2025-12-16,ST,,5.40262625931447,5.79453441295547,0.391908153641
Gilbert Cisneros,C001123,2025-12-15,2025-11-24,LGN,BUY,"$1,001 - $15,000",Representatives,1001.0,D,2025-12-16,ST,,-5.96395656652065,-5.57204841287965,0.391908153641
Gilbert Cisneros,C001123,2025-12-15,2025-11-24,RBC,SELL,"$1,001 - $15,000",Representatives,1001.0,D,2025-12-16,ST,,3.09413835798691,3.48604651162791,0.391908153641
Gilbert Cisneros,C001123,2025-12-15,2025-11-21,LB,BUY,"$15,001 - $50,000",Representatives,15001.0,D,2025-12-16,ST,,-9.40952761385224,-7.524821459676,1.88470615417624
Gilbert Cisneros,C001123,2025-12-15,2025-11-20,TCTZF,BUY,"$1,001 - $15,000",Representatives,1001.0,D,2025-12-16,ST,TICKER 700 HK,-4.10236666596419,-1.2038400975263,2.89852656843789
Gilbert Cisneros,C001123,2025-12-15,2025-11-20,LB,BUY,"$50,001 - $100,000",Representatives,50001.0,D,2025-12-16,ST,,-14.0300967056994,-11.1315701372615,2.89852656843789
Gilbert Cisneros,C001123,2025-12-15,2025-11-20,MBFJF,BUY,"$1,001 - $15,000",Representatives,1001.0,D,2025-12-16,ST,TICKER 8306 JP,0.159984069859985,3.05851063829788,2.89852656843789
Gilbert Cisneros,C001123,2025-12-15,2025-11-20,MHVYF,BUY,"$1,001 - $15,000",Representatives,1001.0,D,2025-12-16,ST,TICKER 7011 JP,-6.03806145215883,-3.13953488372094,2.89852656843789
Gilbert Cisneros,C001123,2025-12-15,2025-11-20,DBSDF,BUY,"$1,001 - $15,000",Representatives,1001.0,D,2025-12-16,ST,,0.124619392828035,3.02314596126593,2.89852656843789
Gilbert Cisneros,C001123,2025-12-15,2025-11-20,NTDOF,BUY,"$1,001 - $15,000",Representatives,1001.0,D,2025-12-16,ST,TICKER 7974 JP,-18.5636922261482,-15.6651656577103,2.89852656843789
Gilbert Cisneros,C001123,2025-12-15,2025-11-19,XIACF,BUY,"$1,001 - $15,000",Representatives,1001.0,D,2025-12-16,ST,TICKER 1810HK,3.72406981448656,5.06188990641039,1.33782009192383
Gilbert Cisneros,C001123,2025-12-15,2025-11-19,BCLYF,BUY,"$1,001 - $15,000",Representatives,1001.0,D,2025-12-16,ST,TICKER BARC LN,17.4182537661909,18.7560738581147,1.33782009192383
Gilbert Cisneros,C001123,2025-12-15,2025-11-19,IBDSF,BUY,"$1,001 - $15,000",Representatives,1001.0,D,2025-12-16,ST,TICKER IBESM,0.568550564446824,1.90637065637065,1.33782009192383
Gilbert Cisneros,C001123,2025-12-15,2025-11-19,HESAF,BUY,"$1,001 - $15,000",Representatives,1001.0,D,2025-12-16,ST,TICKER RMS FP,2.1338741229522,3.47169421487603,1.33782009192383
Gilbert Cisneros,C001123,2025-12-15,2025-11-19,RACE,BUY,"$1,001 - $15,000",Representatives,1001.0,D,2025-12-16,ST,,-7.57643692490231,-6.23861683297848,1.33782009192383
Gilbert Cisneros,C001123,2025-12-15,2025-11-19,AZN,BUY,"$1,001 - $15,000",Representatives,1001.0,D,2025-12-16,ST,TICKER AZN LN,-0.360182155076989,0.977637936846842,1.33782009192383
Gilbert Cisneros,C001123,2025-12-15,2025-11-19,SMEGF,BUY,"$1,001 - $15,000",Representatives,1001.0,D,2025-12-16,ST,TICKER ENR GR,9.50217990807618,10.84,1.33782009192383
Gilbert Cisneros,C001123,2025-12-15,2025-11-19,BABA,BUY,"$15,001 - $50,000",Representatives,15001.0,D,2025-12-16,ST,,-8.76434158478051,-7.42652149285668,1.33782009192383
Gilbert Cisneros,C001123,2025-12-15,2025-11-19,RNMBF,BUY,"$1,001 - $15,000",Representatives,1001.0,D,2025-12-16,ST,TICKER RHM GR,-4.4044867585905,-3.06666666666667,1.33782009192383
Gilbert Cisneros,C001123,2025-12-15,2025-11-19,SBGSF,BUY,"$1,001 - $15,000",Representatives,1001.0,D,2025-12-16,ST,TICKER SU FP,-2.30090783178028,-0.963087739856451,1.33782009192383
Gilbert Cisneros,C001123,2025-12-15,2025-11-19,AZSEY,BUY,"$1,001 - $15,000",Representatives,1001.0,D,2025-12-16,ST,TICKER ALV GR,,,
Gilbert Cisneros,C001123,2025-12-15,2025-11-19,BABAF,BUY,"$1,001 - $15,000",Representatives,1001.0,D,2025-12-16,ST,TICKER 9988HK,-12.1070508611546,-10.7692307692308,1.33782009192383
Gilbert Cisneros,C001123,2025-12-15,2025-11-19,UNCFF,BUY,"$1,001 - $15,000",Representatives,1001.0,D,2025-12-16,ST,TICKER UCGIM,13.1940227959851,14.5318428879089,1.33782009192383
Gilbert Cisneros,C001123,2025-12-15,2025-11-18,JKHY,BUY,"$1,001 - $15,000",Representatives,1001.0,D,2025-12-16,ST,,13.0258920620093,14.730999146029,1.70510708401977
Gilbert Cisneros,C001123,2025-12-15,2025-11-18,TAP,BUY,"$1,001 - $15,000",Representatives,1001.0,D,2025-12-16,ST,,1.760985488639,3.46609257265877,1.70510708401977
Gilbert Cisneros,C001123,2025-12-15,2025-11-18,PLTR,BUY,"$1,001 - $15,000",Representatives,1001.0,D,2025-12-16,ST,,4.24720272294848,5.95230980696825,1.70510708401977
Gilbert Cisneros,C001123,2025-12-15,2025-11-18,TSLA,BUY,"$1,001 - $15,000",Representatives,1001.0,D,2025-12-16,ST,,14.7459832586594,16.4510903426791,1.70510708401977
Gilbert Cisneros,C001123,2025-12-15,2025-11-18,DECK,BUY,"$1,001 - $15,000",Representatives,1001.0,D,2025-12-16,ST,,20.5224206705463,22.2275277545661,1.70510708401977
Gilbert Cisneros,C001123,2025-12-15,2025-11-18,BKNG,BUY,"$1,001 - $15,000",Representatives,1001.0,D,2025-12-16,ST,,9.96055951504649,11.6656665990663,1.70510708401977
Gilbert Cisneros,C001123,2025-12-15,2025-11-18,MELI,BUY,"$1,001 - $15,000",Representatives,1001.0,D,2025-12-16,ST,,-8.62803829185343,-6.92293120783365,1.70510708401977
Gilbert Cisneros,C001123,2025-12-15,2025-11-18,COIN,BUY,"$1,001 - $15,000",Representatives,1001.0,D,2025-12-16,ST,,-8.42805295666579,-6.72294587264602,1.70510708401977
Gilbert Cisneros,C001123,2025-12-15,2025-11-18,NVDA,BUY,"$15,001 - $50,000",Representatives,15001.0,D,2025-12-16,ST,,-7.45058569010712,-5.74547860608735,1.70510708401977
Gilbert Cisneros,C001123,2025-12-15,2025-11-18,SPOT,BUY,"$1,001 - $15,000",Representatives,1001.0,D,2025-12-16,ST,,-12.7381811668228,-11.0330740828031,1.70510708401977
Gilbert Cisneros,C001123,2025-12-15,2025-11-18,WMT,BUY,"$1,001 - $15,000",Representatives,1001.0,D,2025-12-16,ST,,12.3692592242947,14.0743663083144,1.70510708401977
Gilbert Cisneros,C001123,2025-12-15,2025-11-18,REGN,BUY,"$1,001 - $15,000",Representatives,1001.0,D,2025-12-16,ST,,1.6657259046476,3.37083298866737,1.70510708401977
Gilbert Cisneros,C001123,2025-12-15,2025-11-18,BE,BUY,"$1,001 - $15,000",Representatives,1001.0,D,2025-12-16,ST,,-28.3793949757984,-26.6742878917786,1.70510708401977
Gilbert Cisneros,C001123,2025-12-15,2025-11-18,STZ,BUY,"$1,001 - $15,000",Representatives,1001.0,D,2025-12-16,ST,,5.33541999787711,7.04052708189688,1.70510708401977
Gilbert Cisneros,C001123,2025-12-15,2025-11-18,MCK,BUY,"$1,001 - $15,000",Representatives,1001.0,D,2025-12-16,ST,,-8.00542657283767,-6.30031948881789,1.70510708401977
Gilbert Cisneros,C001123,2025-12-15,2025-11-18,NET,BUY,"$1,001 - $15,000",Representatives,1001.0,D,2025-12-16,ST,,-4.30013074452962,-2.59502366050984,1.70510708401977
Gilbert Cisneros,C001123,2025-12-15,2025-11-18,VTRS,BUY,"$1,001 - $15,000",Representatives,1001.0,D,2025-12-16,ST,,7.53859039497181,9.24369747899158,1.70510708401977
Gilbert Cisneros,C001123,2025-12-15,2025-11-18,AMZN,BUY,"$1,001 - $15,000",Representatives,1001.0,D,2025-12-16,ST,,-2.28025873533409,-0.575151651314312,1.70510708401977
Gilbert Cisneros,C001123,2025-12-15,2025-11-18,EXE,BUY,"$1,001 - $15,000",Representatives,1001.0,D,2025-12-16,ST,,-8.2090333387142,-6.50392625469443,1.70510708401977
Gilbert Cisneros,C001123,2025-12-15,2025-11-18,PWR,BUY,"$1,001 - $15,000",Representatives,1001.0,D,2025-12-16,ST,,-7.40521407484588,-5.70010699082611,1.70510708401977
Gilbert Cisneros,C001123,2025-12-15,2025-11-18,NXPI,BUY,"$1,001 - $15,000",Representatives,1001.0,D,2025-12-16,ST,,16.6627809270094,18.3678880110292,1.70510708401977
Gilbert Cisneros,C001123,2025-12-15,2025-11-18,IP,BUY,"$1,001 - $15,000",Representatives,1001.0,D,2025-12-16,ST,,3.28810865546461,4.99321573948439,1.70510708401977
Gilbert Cisneros,C001123,2025-12-15,2025-11-18,AVGO,BUY,"$1,001 - $15,000",Representatives,1001.0,D,2025-12-16,ST,,-5.95767683438689,-4.25256975036711,1.70510708401977
Gilbert Cisneros,C001123,2025-12-15,2025-11-18,ORCL,BUY,"$1,001 - $15,000",Representatives,1001.0,D,2025-12-16,ST,,-20.7671960676471,-19.0620889836274,1.70510708401977
Gilbert Cisneros,C001123,2025-12-15,2025-11-18,GEV,BUY,"$1,001 - $15,000",Representatives,1001.0,D,2025-12-16,ST,,8.97371727220536,10.6788243562251,1.70510708401977
Gilbert Cisneros,C001123,2025-12-15,2025-11-18,HON,BUY,"$1,001 - $15,000",Representatives,1001.0,D,2025-12-16,ST,,2.70335465533776,4.40846173935753,1.70510708401977
Gilbert Cisneros,C001123,2025-12-15,2025-11-18,CAT,BUY,"$1,001 - $15,000",Representatives,1001.0,D,2025-12-16,ST,,1.03955353622598,2.74466062024576,1.70510708401977
Gilbert Cisneros,C001123,2025-12-15,2025-11-18,IFF,BUY,"$1,001 - $15,000",Representatives,1001.0,D,2025-12-16,ST,,-2.28086465977734,-0.575757575757569,1.70510708401977
Gilbert Cisneros,C001123,2025-12-15,2025-11-18,TDG,BUY,"$1,001 - $15,000",Representatives,1001.0,D,2025-12-16,ST,,-8.3236140341182,-6.61850695009843,1.70510708401977
Gilbert Cisneros,C001123,2025-12-15,2025-11-18,CMCSA,SELL,"$1,001 - $15,000",Representatives,1001.0,D,2025-12-16,ST,,9.11360636627263,10.8187134502924,1.70510708401977
Gilbert Cisneros,C001123,2025-12-15,2025-11-18,EG,BUY,"$1,001 - $15,000",Representatives,1001.0,D,2025-12-16,ST,,0.985349762427328,2.6904568464471,1.70510708401977
Gilbert Cisneros,C001123,2025-12-15,2025-11-18,AAPL,BUY,"$1,001 - $15,000",Representatives,1001.0,D,2025-12-16,ST,,-0.0598782476452679,1.64522883637451,1.70510708401977
Gilbert Cisneros,C001123,2025-12-15,2025-11-18,DHI,BUY,"$1,001 - $15,000",Representatives,1001.0,D,2025-12-16,ST,,8.08181960431537,9.78692668833515,1.70510708401977
Gilbert Cisneros,C001123,2025-12-15,2025-11-18,BRO,BUY,"$1,001 - $15,000",Representatives,1001.0,D,2025-12-16,ST,,-0.8418517355899,0.863255348429873,1.70510708401977
Gilbert Cisneros,C001123,2025-12-15,2025-11-18,OKE,BUY,"$1,001 - $15,000",Representatives,1001.0,D,2025-12-16,ST,,3.50877740395371,5.21388448797348,1.70510708401977
Gilbert Cisneros,C001123,2025-12-15,2025-11-18,DOW,BUY,"$1,001 - $15,000",Representatives,1001.0,D,2025-12-16,ST,,3.87841694344018,5.58352402745995,1.70510708401977
Gilbert Cisneros,C001123,2025-12-15,2025-11-18,AMZN,BUY,"$15,001 - $50,000",Representatives,15001.0,D,2025-12-16,ST,,-2.28025873533409,-0.575151651314312,1.70510708401977
Gilbert Cisneros,C001123,2025-12-15,2025-11-18,UPS,BUY,"$1,001 - $15,000",Representatives,1001.0,D,2025-12-16,ST,,7.05283754594898,8.75794462996876,1.70510708401977
Gilbert Cisneros,C001123,2025-12-15,2025-11-18,ETN,BUY,"$1,001 - $15,000",Representatives,1001.0,D,2025-12-16,ST,,-8.34733712333516,-6.64223003931539,1.70510708401977
Gilbert Cisneros,C001123,2025-12-15,2025-11-18,NFLX,BUY,"$1,001 - $15,000",Representatives,1001.0,D,2025-12-16,ST,,-18.6215765379596,-16.9164694539399,1.70510708401977
Gilbert Cisneros,C001123,2025-12-15,2025-11-18,MDB,BUY,"$1,001 - $15,000",Representatives,1001.0,D,2025-12-16,ST,,20.342486593835,22.0475936778547,1.70510708401977
Gilbert Cisneros,C001123,2025-12-15,2025-11-18,CSW,BUY,"$1,001 - $15,000",Representatives,1001.0,D,2025-12-16,ST,,27.4984695431377,29.2035766271574,1.70510708401977
Gilbert Cisneros,C001123,2025-12-15,2025-11-18,CVX,BUY,"$1,001 - $15,000",Representatives,1001.0,D,2025-12-16,ST,,-4.37403040129617,-2.66892331727639,1.70510708401977
Gilbert Cisneros,C001123,2025-12-15,2025-11-18,PG,BUY,"$1,001 - $15,000",Representatives,1001.0,D,2025-12-16,ST,,-1.14724600503481,0.55786107898496,1.70510708401977
Gilbert Cisneros,C001123,2025-12-15,2025-11-18,FISV,BUY,"$1,001 - $15,000",Representatives,1001.0,D,2025-12-16,ST,,9.69039340505749,11.3955004890773,1.70510708401977
Gilbert Cisneros,C001123,2025-12-15,2025-11-18,TRGP,BUY,"$1,001 - $15,000",Representatives,1001.0,D,2025-12-16,ST,,5.83705590689896,7.54216299091874,1.70510708401977
Gilbert Cisneros,C001123,2025-12-15,2025-11-18,SW,BUY,"$1,001 - $15,000",Representatives,1001.0,D,2025-12-16,ST,,10.7135800833368,12.4186871673566,1.70510708401977
Gilbert Cisneros,C001123,2025-12-15,2025-11-18,CMG,BUY,"$1,001 - $15,000",Representatives,1001.0,D,2025-12-16,ST,,18.5809787417279,20.2860858257477,1.70510708401977
Gilbert Cisneros,C001123,2025-12-15,2025-11-18,TSM,BUY,"$1,001 - $15,000",Representatives,1001.0,D,2025-12-16,ST,,-2.04694436947191,-0.341837285452141,1.70510708401977
Gilbert Cisneros,C001123,2025-12-15,2025-11-18,APO,BUY,"$1,001 - $15,000",Representatives,1001.0,D,2025-12-16,ST,,16.055510676598,17.7606177606178,1.70510708401977
Gilbert Cisneros,C001123,2025-12-15,2025-11-18,RBLX,BUY,"$1,001 - $15,000",Representatives,1001.0,D,2025-12-16,ST,,-17.2560753333071,-15.5509682492873,1.70510708401977
Gilbert Cisneros,C001123,2025-12-15,2025-11-18,GPN,BUY,"$1,001 - $15,000",Representatives,1001.0,D,2025-12-16,ST,,12.4417761590734,14.1468832430932,1.70510708401977
Gilbert Cisneros,C001123,2025-12-15,2025-11-18,ZTS,BUY,"$1,001 - $15,000",Representatives,1001.0,D,2025-12-16,ST,,1.77381622730577,3.47892331132555,1.70510708401977
Gilbert Cisneros,C001123,2025-12-15,2025-11-18,HD,BUY,"$1,001 - $15,000",Representatives,1001.0,D,2025-12-16,ST,,4.31902510808674,6.02413219210651,1.70510708401977
Gilbert Cisneros,C001123,2025-12-15,2025-11-18,APP,BUY,"$1,001 - $15,000",Representatives,1001.0,D,2025-12-16,ST,,23.2221756672587,24.9272827512785,1.70510708401977
Gilbert Cisneros,C001123,2025-12-15,2025-11-18,BSX,BUY,"$1,001 - $15,000",Representatives,1001.0,D,2025-12-16,ST,,-6.48236973267931,-4.77726264865954,1.70510708401977
Gilbert Cisneros,C001123,2025-12-15,2025-11-18,SYK,BUY,"$1,001 - $15,000",Representatives,1001.0,D,2025-12-16,ST,,-3.63545866390406,-1.93035157988429,1.70510708401977
Gilbert Cisneros,C001123,2025-12-15,2025-11-18,GOOGL,BUY,"$1,001 - $15,000",Representatives,1001.0,D,2025-12-16,ST,,2.67086027210801,4.37596735612778,1.70510708401977
Gilbert Cisneros,C001123,2025-12-15,2025-11-18,HOOD,BUY,"$1,001 - $15,000",Representatives,1001.0,D,2025-12-16,ST,,-0.392771126014524,1.31233595800525,1.70510708401977
Gilbert Cisneros,C001123,2025-12-15,2025-11-18,MTB,BUY,"$1,001 - $15,000",Representatives,1001.0,D,2025-12-16,ST,,11.4854475562878,13.1905546403075,1.70510708401977
Gilbert Cisneros,C001123,2025-12-15,2025-11-18,MA,BUY,"$1,001 - $15,000",Representatives,1001.0,D,2025-12-16,ST,,5.47674211420608,7.18184919822586,1.70510708401977
Gilbert Cisneros,C001123,2025-12-15,2025-11-18,JPM,BUY,"$1,001 - $15,000",Representatives,1001.0,D,2025-12-16,ST,,3.49512002930309,5.20022711332287,1.70510708401977
Gilbert Cisneros,C001123,2025-12-15,2025-11-18,VRT,BUY,"$1,001 - $15,000",Representatives,1001.0,D,2025-12-16,ST,,-10.8219334821758,-9.11682639815601,1.70510708401977
Gilbert Cisneros,C001123,2025-12-15,2025-11-18,MS,BUY,"$1,001 - $15,000",Representatives,1001.0,D,2025-12-16,ST,,7.66109450516874,9.36620158918851,1.70510708401977
Gilbert Cisneros,C001123,2025-12-15,2025-11-18,SQ,BUY,"$1,001 - $15,000",Representatives,1001.0,D,2025-12-16,ST,,,,
Gilbert Cisneros,C001123,2025-12-15,2025-11-18,SNPS,SELL,"$1,001 - $15,000",Representatives,1001.0,D,2025-12-16,ST,,16.3372044161626,18.0423115001824,1.70510708401977
Gilbert Cisneros,C001123,2025-12-15,2025-11-18,AMD,BUY,"$15,001 - $50,000",Representatives,15001.0,D,2025-12-16,ST,,-15.67879243727,-13.9736853532502,1.70510708401977
Gilbert Cisneros,C001123,2025-12-15,2025-11-18,AZO,BUY,"$1,001 - $15,000",Representatives,1001.0,D,2025-12-16,ST,,-13.0570529340834,-11.3519458500636,1.70510708401977
Gilbert Cisneros,C001123,2025-12-15,2025-11-18,PFE,BUY,"$1,001 - $15,000",Representatives,1001.0,D,2025-12-16,ST,,-3.31610904865632,-1.61100196463654,1.70510708401977
Gilbert Cisneros,C001123,2025-12-15,2025-11-18,ANET,BUY,"$1,001 - $15,000",Representatives,1001.0,D,2025-12-16,ST,,-2.5880556461907,-0.882948562170922,1.70510708401977
Gilbert Cisneros,C001123,2025-12-15,2025-11-18,DASH,BUY,"$1,001 - $15,000",Representatives,1001.0,D,2025-12-16,ST,,2.642308985388,4.34741606940777,1.70510708401977
Gilbert Cisneros,C001123,2025-12-15,2025-11-18,MRK,BUY,"$1,001 - $15,000",Representatives,1001.0,D,2025-12-16,ST,,1.14670251880093,2.8518096028207,1.70510708401977
Gilbert Cisneros,C001123,2025-12-15,2025-11-18,FCX,BUY,"$1,001 - $15,000",Representatives,1001.0,D,2025-12-16,ST,,17.8448929159802,19.55,1.70510708401977
Gilbert Cisneros,C001123,2025-12-15,2025-11-18,FDS,BUY,"$1,001 - $15,000",Representatives,1001.0,D,2025-12-16,ST,,7.12220539990216,8.82731248392194,1.70510708401977
Gilbert Cisneros,C001123,2025-12-15,2025-11-18,FB,BUY,"$1,001 - $15,000",Representatives,1001.0,D,2025-12-16,ST,,-0.926078242918145,0.779028841101629,1.70510708401977
Gilbert Cisneros,C001123,2025-12-15,2025-11-18,UBER,BUY,"$1,001 - $15,000",Representatives,1001.0,D,2025-12-16,ST,,-14.6040725253581,-12.8989654413383,1.70510708401977
Gilbert Cisneros,C001123,2025-12-15,2025-11-18,ISRG,BUY,"$1,001 - $15,000",Representatives,1001.0,D,2025-12-16,ST,,0.140275800922713,1.84538288494249,1.70510708401977
Gilbert Cisneros,C001123,2025-12-15,2025-11-18,LLY,BUY,"$1,001 - $15,000",Representatives,1001.0,D,2025-12-16,ST,,-0.56535658647111,1.13975049754866,1.70510708401977
Gilbert Cisneros,C001123,2025-12-15,2025-11-18,ARE,BUY,"$1,001 - $15,000",Representatives,1001.0,D,2025-12-16,ST,,-8.08305983992528,-6.3779527559055,1.70510708401977
Gilbert Cisneros,C001123,2025-12-15,2025-11-18,VRSK,BUY,"$1,001 - $15,000",Representatives,1001.0,D,2025-12-16,ST,,-3.40496356051781,-1.69985647649804,1.70510708401977
Gilbert Cisneros,C001123,2025-12-15,2025-11-18,INTC,BUY,"$1,001 - $15,000",Representatives,1001.0,D,2025-12-16,ST,,3.30508808055931,5.01019516457908,1.70510708401977
Gilbert Cisneros,C001123,2025-12-15,2025-11-18,FIS,BUY,"$1,001 - $15,000",Representatives,1001.0,D,2025-12-16,ST,,3.28301643141965,4.98812351543943,1.70510708401977
Gilbert Cisneros,C001123,2025-12-15,2025-11-18,WPM,BUY,"$1,001 - $15,000",Representatives,1001.0,D,2025-12-16,ST,,9.95800178460044,11.6631088686202,1.70510708401977
Gilbert Cisneros,C001123,2025-12-15,2025-11-18,LEN,BUY,"$1,001 - $15,000",Representatives,1001.0,D,2025-12-16,ST,,-4.93007905953068,-3.2249719755109,1.70510708401977
Gilbert Cisneros,C001123,2025-12-15,2025-11-18,BXP,BUY,"$1,001 - $15,000",Representatives,1001.0,D,2025-12-16,ST,,-1.11202159291604,0.593085491103733,1.70510708401977
Gilbert Cisneros,C001123,2025-12-15,2025-11-18,ABT,BUY,"$1,001 - $15,000",Representatives,1001.0,D,2025-12-16,ST,,-4.23587631478901,-2.53076923076924,1.70510708401977
Gilbert Cisneros,C001123,2025-12-15,2025-11-18,CTRA,BUY,"$1,001 - $15,000",Representatives,1001.0,D,2025-12-16,ST,,-2.66039940346952,-0.955292319449751,1.70510708401977
Gilbert Cisneros,C001123,2025-12-15,2025-11-18,WBD,BUY,"$1,001 - $15,000",Representatives,1001.0,D,2025-12-16,ST,,17.3746734140807,19.0797804981005,1.70510708401977
Gilbert Cisneros,C001123,2025-12-15,2025-11-18,CPB,BUY,"$1,001 - $15,000",Representatives,1001.0,D,2025-12-16,ST,,-9.18174259803846,-7.47663551401869,1.70510708401977
Gilbert Cisneros,C001123,2025-12-15,2025-11-18,WFC,BUY,"$1,001 - $15,000",Representatives,1001.0,D,2025-12-16,ST,,8.70510040465183,10.4102074886716,1.70510708401977
Gilbert Cisneros,C001123,2025-12-15,2025-11-18,MSFT,BUY,"$50,001 - $100,000",Representatives,50001.0,D,2025-12-16,ST,,-5.28355136195169,-3.57844427793192,1.70510708401977
Gilbert Cisneros,C001123,2025-12-15,2025-11-18,AMCR,BUY,"$1,001 - $15,000",Representatives,1001.0,D,2025-12-16,ST,,-2.76893687125384,-1.06382978723406,1.70510708401977
Gilbert Cisneros,C001123,2025-12-15,2025-11-18,LMT,BUY,"$1,001 - $15,000",Representatives,1001.0,D,2025-12-16,ST,,-1.69036154981014,0.0147455342096379,1.70510708401977
Gilbert Cisneros,C001123,2025-12-15,2025-11-17,DASH,BUY,"$1,001 - $15,000",Representatives,1001.0,D,2025-12-16,ST,,4.1881893758373,5.05577972940897,0.867590353571672
Gilbert Cisneros,C001123,2025-12-15,2025-11-17,CP,BUY,"$1,001 - $15,000",Representatives,1001.0,D,2025-12-16,ST,,3.65330813946215,4.52089849303383,0.867590353571672
Gilbert Cisneros,C001123,2025-12-15,2025-11-17,SARO,BUY,"$1,001 - $15,000",Representatives,1001.0,D,2025-12-16,ST,,9.02697574537399,9.89456609894567,0.867590353571672
Gilbert Cisneros,C001123,2025-12-15,2025-11-13,VIAV,SELL,"$1,001 - $15,000",Representatives,1001.0,D,2025-12-16,ST,,1.34396320017221,1.24040165386888,-0.103561546303336
Gilbert Cisneros,C001123,2025-12-15,2025-11-13,ALKT,BUY,"$1,001 - $15,000",Representatives,1001.0,D,2025-12-16,ST,,11.3143238781419,11.2107623318386,-0.103561546303336
Gilbert Cisneros,C001123,2025-12-15,2025-11-13,BCRX,BUY,"$1,001 - $15,000",Representatives,1001.0,D,2025-12-16,ST,,3.43689487963666,3.33333333333333,-0.103561546303336
